"","tdf_stages.Stage","tdf_stages.Date","tdf_stages.Distance","tdf_stages.Origin","tdf_stages.Destination","tdf_stages.Type","tdf_stages.Winner","tdf_stages.Winner_Country"
"1","1",2017-07-01,14,"Düsseldorf","Düsseldorf","Individual time trial","Geraint Thomas","GBR"
"2","2",2017-07-02,203.5,"Düsseldorf","Liège","Flat stage","Marcel Kittel","GER"
"3","3",2017-07-03,212.5,"Verviers","Longwy","Medium mountain stage","Peter Sagan","SVK"
"4","4",2017-07-04,207.5,"Mondorf-les-Bains","Vittel","Flat stage","Arnaud Démare","FRA"
"5","5",2017-07-05,160.5,"Vittel","La Planche des Belles Filles","Medium mountain stage","Fabio Aru","ITA"
"6","6",2017-07-06,216,"Vesoul","Troyes","Flat stage","Marcel Kittel","GER"
"7","7",2017-07-07,213.5,"Troyes","Nuits-Saint-Georges","Flat stage","Marcel Kittel","GER"
"8","8",2017-07-08,187.5,"Dole","Station des Rousses","Medium mountain stage","Lilian Calmejane","FRA"
"9","9",2017-07-09,181.5,"Nantua","Chambéry","High mountain stage","Rigoberto Urán","COL"
"10","10",2017-07-11,178,"Périgueux","Bergerac","Flat stage","Marcel Kittel","GER"
"11","11",2017-07-12,203.5,"Eymet","Pau","Flat stage","Marcel Kittel","GER"
"12","12",2017-07-13,214.5,"Pau","Peyragudes","High mountain stage","Romain Bardet","FRA"
"13","13",2017-07-14,101,"Saint-Girons","Foix","High mountain stage","Warren Barguil","FRA"
"14","14",2017-07-15,181.5,"Blagnac","Rodez","Medium mountain stage","Michael Matthews","AUS"
"15","15",2017-07-16,189.5,"Laissac-Sévérac-l'Église","Le Puy-en-Velay","Medium mountain stage","Bauke Mollema","NED"
"16","16",2017-07-18,165,"Le Puy-en-Velay","Romans-sur-Isère","Medium mountain stage","Michael Matthews","AUS"
"17","17",2017-07-19,183,"La Mure","Serre Chevalier","High mountain stage","Primož Roglic","SLO"
"18","18",2017-07-20,179.5,"Briançon","Col d'Izoard","High mountain stage","Warren Barguil","FRA"
"19","19",2017-07-21,222.5,"Embrun","Salon-de-Provence","Flat stage","Edvald Boasson Hagen","NOR"
"20","20",2017-07-22,22.5,"Marseille","Marseille","Individual time trial","Maciej Bodnar","POL"
"21","21",2017-07-23,103,"Montgeron","Paris","Flat stage","Dylan Groenewegen","NED"
"22","1",2016-07-02,188,"Mont Saint-Michel","Utah Beach","Flat stage","Mark Cavendish","GBR"
"23","2",2016-07-03,183,"Saint-Lô","Cherbourg-en-Cotentin","Flat stage","Peter Sagan","SVK"
"24","3",2016-07-04,223.5,"Granville","Angers","Flat stage","Mark Cavendish","GBR"
"25","4",2016-07-05,237.5,"Saumur","Limoges","Flat stage","Marcel Kittel","GER"
"26","5",2016-07-06,216,"Limoges","Le Lioran","Medium mountain stage","Greg Van Avermaet","BEL"
"27","6",2016-07-07,190.5,"Arpajon-sur-Cère","Montauban","Flat stage","Mark Cavendish","GBR"
"28","7",2016-07-08,162.5,"L'Isle-Jourdain","Lac de Payolle","Medium mountain stage","Steve Cummings","GBR"
"29","8",2016-07-09,184,"Pau","Bagnères-de-Luchon","High mountain stage","Chris Froome","GBR"
"30","9",2016-07-10,184.5,"Vielha Val d'Aran","Andorra-Arcalis","High mountain stage","Tom Dumoulin","NED"
"31","10",2016-07-12,197,"Escaldes-Engordany","Revel","Medium mountain stage","Michael Matthews","AUS"
"32","11",2016-07-13,162.5,"Carcassonne","Montpellier","Flat stage","Peter Sagan","SVK"
"33","12",2016-07-14,178,"Montpellier","Chalet Reynard","High mountain stage","Thomas De Gendt","BEL"
"34","13",2016-07-15,37.5,"Bourg-Saint-Andéol","La Caverne du Pont-d'Arc","Individual time trial","Tom Dumoulin","NED"
"35","14",2016-07-16,208.5,"Montélimar","Villars-les-Dombes","Flat stage","Mark Cavendish","GBR"
"36","15",2016-07-17,160,"Bourg-en-Bresse","Culoz","High mountain stage","Jarlinson Pantano","COL"
"37","16",2016-07-18,209,"Moirans-en-Montagne","Bern","Flat stage","Peter Sagan","SVK"
"38","17",2016-07-20,184.5,"Bern","Finhaut-Émosson","High mountain stage","Ilnur Zakarin","RUS"
"39","18",2016-07-21,17,"Sallanches","Megève","Mountain time trial","Chris Froome","GBR"
"40","19",2016-07-22,146,"Albertville","Saint Gervais-les-Bains","High mountain stage","Romain Bardet","FRA"
"41","20",2016-07-23,146.5,"Megève","Morzine","High mountain stage","Ion Izagirre","ESP"
"42","21",2016-07-24,113,"Chantilly","Paris","Flat stage","André Greipel","GER"
"43","1",2015-07-04,13.8,"Utrecht","Utrecht","Individual time trial","Rohan Dennis","AUS"
"44","2",2015-07-05,166,"Utrecht","Zeeland","Flat stage","André Greipel","GER"
"45","3",2015-07-06,159.5,"Antwerp","Huy","Flat stage","Joaquim Rodríguez","ESP"
"46","4",2015-07-07,223.5,"Seraing","Cambrai","Medium mountain stage","Tony Martin","GER"
