"","tdf_stages.Stage","tdf_stages.Date","tdf_stages.Distance","tdf_stages.Origin","tdf_stages.Destination","tdf_stages.Type","tdf_stages.Winner","tdf_stages.Winner_Country"
"1117","16",1969-07-14,199,"Castelnaudary","Luchon","Stage with mountain(s)","Raymond Delisle","FRA"
"1118","17",1969-07-15,214,"Luchon","Mourenx","Stage with mountain(s)","Eddy Merckx","BEL"
"1119","18",1969-07-16,201,"Mourenx","Bordeaux","Plain stage","Barry Hoban","GBR"
"1120","19",1969-07-17,193,"Bordeaux","Brive","Plain stage","Barry Hoban","GBR"
"1121","20",1969-07-18,198,"Brive","Puy de Dôme","Stage with mountain(s)","Pierre Matignon","FRA"
"1122","21",1969-07-19,329,"Clermont-Ferrand","Montargis","Plain stage","Herman Van Springel","BEL"
"1123","22a",1969-07-20,111,"Montargis","Créteil","Plain stage","Jozef Spruyt","BEL"
"1124","22b",1969-07-20,37,"Créteil","Paris","Individual time trial","Eddy Merckx","BEL"
"1125","1a",1968-06-27,6.1,"Vittel","Vittel","Individual time trial","Charly Grosskost","FRA"
"1126","1b",1968-06-28,189,"Vittel","Esch-sur-Alzette","Plain stage","Charly Grosskost","FRA"
"1127","2",1968-06-29,210.5,"Arlon","Forest","Plain stage","Eric de Vlaeminck","BEL"
"1128","3a",1968-06-30,22,"Forest","Forest","Team time trial","Belgium A",NA
"1129","3b",1968-06-30,112,"Forest","Roubaix","Plain stage","Walter Godefroot","BEL"
"1130","4",1968-07-01,238,"Roubaix","Rouen","Plain stage","Georges Chappe","FRA"
"1131","5a",1968-07-02,165,"Rouen","Bagnoles-de-l'Orne","Plain stage","André Desvages","FRA"
"1132","5b",1968-07-02,154.5,"Bagnoles-de-l'Orne","Dinard","Plain stage","Jean Dumont","FRA"
"1133","6",1968-07-03,188,"Dinard","Lorient","Plain stage","Aurelio González Puente","ESP"
"1134","7",1968-07-04,190,"Lorient","Nantes","Plain stage","Franco Bitossi","ITA"
"1135","8",1968-07-05,223,"Nantes","Royan","Plain stage","Daniel van Ryckeghem","BEL"
"1136","9",1968-07-07,137.5,"Royan","Bordeaux","Plain stage","Walter Godefroot","BEL"
"1137","10",1968-07-08,202.5,"Bordeaux","Bayonne","Plain stage","Gilbert Bellone","FRA"
"1138","11",1968-07-09,183.5,"Bayonne","Pau","Plain stage","Daniel van Ryckeghem","BEL"
"1139","12",1968-07-10,226.5,"Pau","Saint-Gaudens","Stage with mountain(s)","Georges Pintens","BEL"
"1140","13",1968-07-11,208.5,"Saint-Gaudens","La Seu d'Urgell","Stage with mountain(s)","Herman Van Springel","BEL"
"1141","14",1968-07-12,231.5,"La Seu d'Urgell","Perpignan","Stage with mountain(s)","Jan Janssen","NED"
"1142","15",1968-07-14,250.5,"Font-Romeu-Odeillo-Via","Albi","Plain stage","Roger Pingeon","FRA"
"1143","16",1968-07-15,199,"Albi","Aurillac","Plain stage","Franco Bitossi","ITA"
"1144","17",1968-07-16,236.5,"Aurillac","Saint-Étienne","Stage with mountain(s)","Jean-Pierre Genet","FRA"
"1145","18",1968-07-17,235,"Saint-Étienne","Grenoble","Stage with mountain(s)","Roger Pingeon","FRA"
"1146","19",1968-07-18,200,"Grenoble","Sallanches","Stage with mountain(s)","Barry Hoban","GBR"
"1147","20",1968-07-19,242.5,"Sallanches","Besançon","Stage with mountain(s)","Jozef Huysmans","BEL"
"1148","21",1968-07-20,242,"Besançon","Auxerre","Plain stage","Eric Leman","BEL"
"1149","22a",1968-07-21,136,"Auxerre","Melun","Plain stage","Maurice Izier","FRA"
"1150","22b",1968-07-21,55.2,"Melun","Paris","Individual time trial","Jan Janssen","NED"
"1151","1a",1967-06-29,5.775,"Angers","Angers","Individual time trial","José-Maria Errandonea","ESP"
"1152","1b",1967-06-30,185.5,"Angers","Saint-Malo","Plain stage","Walter Godefroot","BEL"
"1153","2",1967-07-01,180,"Saint-Malo","Caen","Plain stage","Willy Van Neste","BEL"
"1154","3",1967-07-02,248,"Caen","Amiens","Plain stage","Marino Basso","ITA"
"1155","4",1967-07-03,191,"Amiens","Roubaix","Plain stage","Guido Reybrouck","BEL"
"1156","5a",1967-07-04,172,"Roubaix","Jambes","Plain stage","Roger Pingeon","FRA"
"1157","5b",1967-07-04,17,"Jambes","Jambes","Team time trial","Belgium",NA
"1158","6",1967-07-05,238,"Jambes","Metz","Plain stage","Herman Van Springel","BEL"
"1159","7",1967-07-06,205.5,"Metz","Strasbourg","Stage with mountain(s)","Michael Wright","GBR"
"1160","8",1967-07-07,215,"Strasbourg","Belfort/Ballon d’Alsace","Stage with mountain(s)","Lucien Aimar","FRA"
"1161","9",1967-07-09,238.5,"Belfort","Divonne-les-Bains","Stage with mountain(s)","Guido Reybrouck","BEL"
"1162","10",1967-07-10,243,"Divonne-les-Bains","Briançon","Stage with mountain(s)","Felice Gimondi","ITA"
"1163","11",1967-07-11,197,"Briançon","Digne","Stage with mountain(s)","José Samyn","FRA"
"1164","12",1967-07-12,207.5,"Digne","Marseille","Plain stage","Raymond Riotte","FRA"
"1165","13",1967-07-13,211.5,"Marseille","Carpentras","Stage with mountain(s)","Jan Janssen","NED"
"1166","14",1967-07-14,201.5,"Carpentras","Sète","Plain stage","Barry Hoban","GBR"
"1167","15",1967-07-16,230.5,"Sète","Toulouse","Plain stage","Rolf Wolfshohl","FRG"
"1168","16",1967-07-17,188,"Toulouse","Luchon","Stage with mountain(s)","Fernando Manzaneque","ESP"
"1169","17",1967-07-18,250,"Luchon","Pau","Stage with mountain(s)","Raymond Mastrotto","FRA"
"1170","18",1967-07-19,206.5,"Pau","Bordeaux","Plain stage","Marino Basso","ITA"
"1171","19",1967-07-20,217,"Bordeaux","Limoges","Plain stage","Jean Stablinski","FRA"
"1172","20",1967-07-21,222,"Limoges","Puy de Dôme","Stage with mountain(s)","Felice Gimondi","ITA"
"1173","21",1967-07-22,359,"Clermont-Ferrand","Fontainebleau","Plain stage","Paul Lemeteyer","FRA"
"1174","22a",1967-07-23,104,"Fontainebleau","Versailles","Plain stage","René Binggeli","SUI"
"1175","22b",1967-07-23,46.6,"Versailles","Paris","Individual time trial","Raymond Poulidor","FRA"
"1176","1",1966-06-21,209,"Nancy","Charleville","Plain stage","Rudi Altig","FRG"
"1177","2",1966-06-22,198,"Charleville","Tournai","Plain stage","Guido Reybrouck","BEL"
"1178","3a",1966-06-23,21,"Tournai","Tournai","Team time trial","Televizier–Batavus",NA
"1179","3b",1966-06-23,131,"Tournai","Dunkirk","Plain stage","Gerben Karstens","NED"
"1180","4",1966-06-24,205,"Dunkirk","Dieppe","Plain stage","Willy Planckaert","BEL"
"1181","5",1966-06-25,178,"Dieppe","Caen","Plain stage","Franco Bitossi","ITA"
"1182","6",1966-06-26,217,"Caen","Angers","Plain stage","Edward Sels","BEL"
"1183","7",1966-06-27,252,"Angers","Royan","Plain stage","Albert Van Vlierberghe","BEL"
"1184","8",1966-06-28,138,"Royan","Bordeaux","Plain stage","Willy Planckaert","BEL"
"1185","9",1966-06-29,201,"Bordeaux","Bayonne","Plain stage","Gerben Karstens","NED"
"1186","10",1966-06-30,234,"Bayonne","Pau","Stage with mountain(s)","Tommaso de Pra","ITA"
"1187","11",1966-07-01,188,"Pau","Luchon","Stage with mountain(s)","Guido Marcello Mugnaini","ITA"
"1188","12",1966-07-03,219,"Luchon","Revel","Stage with mountain(s)","Rudi Altig","FRG"
"1189","13",1966-07-04,191,"Revel","Sète","Plain stage","Georges Vandenberghe","BEL"
"1190","14a",1966-07-05,144,"Montpellier","Vals-les-Bains","Plain stage","Jo de Roo","NED"
"1191","14b",1966-07-05,20,"Vals-les-Bains","Vals-les-Bains","Individual time trial","Raymond Poulidor","FRA"
"1192","15",1966-07-06,203,"Privas","Le Bourg-d'Oisans","Stage with mountain(s)","Luís Otano","ESP"
"1193","16",1966-07-07,148,"Le Bourg-d'Oisans","Briançon","Stage with mountain(s)","Julio Jiménez","ESP"
"1194","17",1966-07-08,160,"Briançon","Turin","Stage with mountain(s)","Franco Bitossi","ITA"
"1195","18",1966-07-10,188,"Ivrea","Chamonix","Stage with mountain(s)","Edy Schutz","LUX"
"1196","19",1966-07-11,265,"Chamonix","Saint-Étienne","Stage with mountain(s)","Ferdinand Bracke","BEL"
"1197","20",1966-07-12,223,"Saint-Étienne","Montluçon","Plain stage","Henk Nijdam","NED"
"1198","21",1966-07-13,232,"Montluçon","Orléans","Plain stage","Pierre Beuffeuil","FRA"
"1199","22a",1966-07-14,111,"Orléans","Rambouillet","Plain stage","Edward Sels","BEL"
"1200","22b",1966-07-14,51,"Rambouillet","Paris","Individual time trial","Rudi Altig","FRG"
"1201","1a",1965-06-22,149,"Cologne","Liège","Plain stage","Rik Van Looy","BEL"
"1202","1b",1965-06-22,22.5,"Liège","Liège","Team time trial","Ford France–Gitane",NA
"1203","2",1965-06-23,200.5,"Liège","Roubaix","Plain stage","Bernard Van De Kerkhove","BEL"
"1204","3",1965-06-24,240,"Roubaix","Rouen","Plain stage","Felice Gimondi","ITA"
"1205","4",1965-06-25,227,"Caen","Saint-Brieuc","Plain stage","Edgard Sorgeloos","BEL"
"1206","5a",1965-06-26,147,"Saint-Brieuc","Châteaulin","Plain stage","Cees van Espen","NED"
"1207","5b",1965-06-26,26.7,"Châteaulin","Châteaulin","Individual time trial","Raymond Poulidor","FRA"
"1208","6",1965-06-27,210.5,"Quimper","La Baule","Plain stage","Guido Reybroeck","BEL"
"1209","7",1965-06-28,219,"La Baule","La Rochelle","Plain stage","Edward Sels","BEL"
"1210","8",1965-06-29,197.5,"La Rochelle","Bordeaux","Plain stage","Johan de Roo","NED"
"1211","9",1965-06-30,226.5,"Dax","Bagnères-de-Bigorre","Stage with mountain(s)","Julio Jiménez","ESP"
"1212","10",1965-07-01,222.5,"Bagnères-de-Bigorre","Ax-les-Thermes","Stage with mountain(s)","Guido Reybroeck","BEL"
"1213","11",1965-07-02,240.5,"Ax-les-Thermes","Barcelona","Stage with mountain(s)","José Perez-Frances","ESP"
"1214","12",1965-07-04,219,"Barcelona","Perpignan","Plain stage","Jan Janssen","NED"
"1215","13",1965-07-05,164,"Perpignan","Montpellier","Plain stage","Adriano Durante","ITA"
"1216","14",1965-07-06,173,"Montpellier","Mont Ventoux","Stage with mountain(s)","Raymond Poulidor","FRA"
"1217","15",1965-07-07,167.5,"Carpentras","Gap","Stage with mountain(s)","Giuseppe Fezzardi","ITA"
"1218","16",1965-07-08,177,"Gap","Briançon","Stage with mountain(s)","Joaquim Galera","ESP"
"1219","17",1965-07-09,193.5,"Briançon","Aix-les-Bains","Stage with mountain(s)","Julio Jiménez","ESP"
"1220","18",1965-07-10,26.9,"Aix-les-Bains","Le Revard","Mountain time trial","Felice Gimondi","ITA"
"1221","19",1965-07-11,165,"Aix-les-Bains","Lyon","Stage with mountain(s)","Rik Van Looy","BEL"
"1222","20",1965-07-12,198.5,"Lyon","Auxerre","Plain stage","Michael Wright","GBR"
"1223","21",1965-07-13,225.5,"Auxerre","Versailles","Plain stage","Gerben Karstens","NED"
"1224","22",1965-07-14,37.8,"Versailles","Paris","Individual time trial","Felice Gimondi","ITA"
"1225","1",1964-06-22,215,"Rennes","Lisieux","Plain stage","Edward Sels","BEL"
"1226","2",1964-06-23,208,"Lisieux","Amiens","Plain stage","André Darrigade","FRA"
"1227","3a",1964-06-24,197,"Amiens","Forest","Plain stage","Bernard Vandekerkhove","BEL"
"1228","3b",1964-06-24,21,"Forest","Forest","Team time trial","Kas–Kaskol",NA
"1229","4",1964-06-25,292,"Forest","Metz","Plain stage","Rudi Altig","GER"
"1230","5",1964-06-26,161,"Lunéville","Freiburg","Plain stage","Willy Derboven","BEL"
"1231","6",1964-06-27,200,"Freiburg","Besançon","Plain stage","Henk Nijdam","NED"
"1232","7",1964-06-28,195,"Besançon","Thonon-les-Bains","Plain stage","Jan Janssen","NED"
"1233","8",1964-06-29,249,"Thonon-les-Bains","Briançon","Stage with mountain(s)","Federico Bahamontes","ESP"
"1234","9",1964-06-30,239,"Briançon","Monaco","Stage with mountain(s)","Jacques Anquetil","FRA"
"1235","10a",1964-07-01,187,"Monaco","Hyères","Plain stage","Jan Janssen","NED"
"1236","10b",1964-07-01,21,"Hyères","Toulon","Individual time trial","Jacques Anquetil","FRA"
"1237","11",1964-07-02,250,"Toulon","Montpellier","Plain stage","Edward Sels","BEL"
"1238","12",1964-07-03,174,"Montpellier","Perpignan","Plain stage","Jo de Roo","NED"
"1239","13",1964-07-04,170,"Perpignan","Andorra","Stage with mountain(s)","Julio Jiménez","ESP"
"1240","14",1964-07-06,186,"Andorra","Toulouse","Stage with mountain(s)","Edward Sels","BEL"
"1241","15",1964-07-07,203,"Toulouse","Luchon","Stage with mountain(s)","Raymond Poulidor","FRA"
"1242","16",1964-07-08,197,"Luchon","Pau","Stage with mountain(s)","Federico Bahamontes","ESP"
"1243","17",1964-07-09,43,"Peyrehorade","Bayonne","Individual time trial","Jacques Anquetil","FRA"
"1244","18",1964-07-10,187,"Bayonne","Bordeaux","Plain stage","André Darrigade","FRA"
"1245","19",1964-07-11,215,"Bordeaux","Brive","Plain stage","Edward Sels","BEL"
"1246","20",1964-07-12,217,"Brive","Puy de Dôme","Stage with mountain(s)","Julio Jiménez","ESP"
"1247","21",1964-07-13,311,"Clermont-Ferrand","Orléans","Plain stage","Jean Stablinski","FRA"
"1248","22a",1964-07-14,119,"Orléans","Versailles","Plain stage","Benoni Beheyt","BEL"
"1249","22b",1964-07-14,27,"Versailles","Paris","Individual time trial","Jacques Anquetil","FRA"
"1250","1",1963-06-23,152,"Paris","Épernay","Plain stage","Eddy Pauwels","BEL"
"1251","2a",1963-06-24,186,"Reims","Jambes","Plain stage","Rik Van Looy","BEL"
"1252","2b",1963-06-24,22,"Jambes","Jambes","Team time trial","Pelforth–Sauvage–Lejeune",NA
"1253","3",1963-06-25,223,"Jambes","Roubaix","Plain stage","Seamus Elliott","IRL"
"1254","4",1963-06-26,236,"Roubaix","Rouen","Plain stage","Frans Melckenbeeck","BEL"
"1255","5",1963-06-27,285,"Rouen","Rennes","Plain stage","Antonio Bailetti","ITA"
"1256","6a",1963-06-28,118,"Rennes","Angers","Plain stage","Roger de Breuker","BEL"
"1257","6b",1963-06-28,25,"Angers","Angers","Individual time trial","Jacques Anquetil","FRA"
"1258","7",1963-06-29,236,"Angers","Limoges","Plain stage","Jan Janssen","NED"
"1259","8",1963-06-30,232,"Limoges","Bordeaux","Plain stage","Rik Van Looy","BEL"
"1260","9",1963-07-01,202,"Bordeaux","Pau","Plain stage","Pino Cerami","BEL"
"1261","10",1963-07-02,148,"Pau","Bagnères-de-Bigorre","Stage with mountain(s)","Jacques Anquetil","FRA"
"1262","11",1963-07-03,131,"Bagnères-de-Bigorre","Luchon","Stage with mountain(s)","Guy Ignolin","FRA"
"1263","12",1963-07-04,173,"Luchon","Toulouse","Stage with mountain(s)","André Darrigade","FRA"
"1264","13",1963-07-05,234,"Toulouse","Aurillac","Plain stage","Rik Van Looy","BEL"
"1265","14",1963-07-07,237,"Aurillac","Saint-Étienne","Plain stage","Guy Ignolin","FRA"
"1266","15",1963-07-08,174,"Saint-Étienne","Grenoble","Stage with mountain(s)","Federico Bahamontes","ESP"
"1267","16",1963-07-09,202,"Grenoble","Val d'Isère","Stage with mountain(s)","Fernando Manzaneque","ESP"
"1268","17",1963-07-10,228,"Val d'Isère","Chamonix","Stage with mountain(s)","Jacques Anquetil","FRA"
"1269","18",1963-07-11,225,"Chamonix","Lons-le-Saunier","Stage with mountain(s)","Frans Brands","BEL"
"1270","19",1963-07-12,54,"Arbois","Besançon","Individual time trial","Jacques Anquetil","FRA"
"1271","20",1963-07-13,234,"Besançon","Troyes","Plain stage","Roger de Breuker","BEL"
"1272","21",1963-07-14,185,"Troyes","Paris","Plain stage","Rik Van Looy","BEL"
"1273","1",1962-06-24,253,"Nancy","Spa","Plain stage","Rudi Altig","FRG"
"1274","2a",1962-06-25,147,"Spa","Herentals","Plain stage","André Darrigade","FRA"
"1275","2b",1962-06-25,23,"Herentals","Herentals","Team time trial","Faema–Flandria–Clement",NA
"1276","3",1962-06-26,210,"Brussels","Amiens","Plain stage","Rudi Altig","FRG"
"1277","4",1962-06-27,196.5,"Amiens","Le Havre","Plain stage","Willy Vanden Berghen","BEL"
"1278","5",1962-06-28,215,"Pont l'Evêque","Saint-Malo","Plain stage","Emile Daems","BEL"
"1279","6",1962-06-29,235.5,"Dinard","Brest","Plain stage","Robert Cazala","FRA"
"1280","7",1962-06-30,201,"Quimper","Saint-Nazaire","Plain stage","Huub Zilverberg","NED"
"1281","8a",1962-07-01,155,"Saint-Nazaire","Luçon","Plain stage","Mario Minieri","ITA"
"1282","8b",1962-07-01,43,"Luçon","La Rochelle","Individual time trial","Jacques Anquetil","FRA"
"1283","9",1962-07-02,214,"La Rochelle","Bordeaux","Plain stage","Antonio Bailetti","ITA"
"1284","10",1962-07-03,184.5,"Bordeaux","Bayonne","Plain stage","Willy Vannitsen","BEL"
"1285","11",1962-07-04,155.5,"Bayonne","Pau","Plain stage","Eddy Pauwels","BEL"
"1286","12",1962-07-05,207.5,"Pau","Saint-Gaudens","Stage with mountain(s)","Robert Cazala","FRA"
"1287","13",1962-07-06,18.5,"Luchon","Superbagnères","Mountain time trial","Federico Bahamontes","ESP"
"1288","14",1962-07-07,215,"Luchon","Carcassonne","Stage with mountain(s)","Jean Stablinski","FRA"
"1289","15",1962-07-08,196.5,"Carcassonne","Montpellier","Plain stage","Willy Vannitsen","BEL"
"1290","16",1962-07-09,185,"Montpellier","Aix-en-Provence","Plain stage","Emile Daems","BEL"
"1291","17",1962-07-10,201,"Aix-en-Provence","Antibes","Plain stage","Rudi Altig","FRG"
"1292","18",1962-07-11,241.5,"Antibes","Briançon","Stage with mountain(s)","Emile Daems","BEL"
"1293","19",1962-07-12,204.5,"Briançon","Aix-les-Bains","Stage with mountain(s)","Raymond Poulidor","FRA"
"1294","20",1962-07-13,68,"Bourgoin","Lyon","Individual time trial","Jacques Anquetil","FRA"
"1295","21",1962-07-14,232,"Lyon","Nevers","Plain stage","Dino Bruni","ITA"
"1296","22",1962-07-15,271,"Nevers","Paris","Plain stage","Rino Benedetti","ITA"
"1297","1a",1961-06-25,136.5,"Rouen","Versailles","Plain stage","André Darrigade","FRA"
"1298","1b",1961-06-25,28.5,"Versailles","Versailles","Individual time trial","Jacques Anquetil","FRA"
"1299","2",1961-06-26,230.5,"Pontoise","Roubaix","Plain stage","André Darrigade","FRA"
"1300","3",1961-06-27,197.5,"Roubaix","Charleroi","Plain stage","Emile Daems","BEL"
"1301","4",1961-06-28,237.5,"Charleroi","Metz","Plain stage","Anatole Novak","FRA"
"1302","5",1961-06-29,221,"Metz","Strasbourg","Stage with mountain(s)","Louis Bergaud","FRA"
"1303","6",1961-06-30,180.5,"Strasbourg","Belfort","Stage with mountain(s)","Jozef Planckaert","BEL"
"1304","7",1961-07-01,214.5,"Belfort","Chalon-sur-Saône","Plain stage","Jean Stablinski","FRA"
"1305","8",1961-07-02,240.5,"Chalon-sur-Saône","Saint-Étienne","Stage with mountain(s)","Jean Forestier","FRA"
"1306","9",1961-07-03,230,"Saint-Étienne","Grenoble","Stage with mountain(s)","Charly Gaul","LUX"
"1307","10",1961-07-04,250.5,"Grenoble","Turin","Stage with mountain(s)","Guy Ignolin","FRA"
"1308","11",1961-07-05,225,"Turin","Antibes","Stage with mountain(s)","Guido Carlesi","ITA"
"1309","12",1961-07-06,199,"Antibes","Aix-en-Provence","Stage with mountain(s)","Michel Van Aerde","BEL"
"1310","13",1961-07-07,177.5,"Aix-en-Provence","Montpellier","Plain stage","André Darrigade","FRA"
"1311","14",1961-07-09,174,"Montpellier","Perpignan","Plain stage","Eddy Pauwels","BEL"
"1312","15",1961-07-10,206,"Perpignan","Toulouse","Plain stage","Guido Carlesi","ITA"
"1313","16",1961-07-11,208,"Toulouse","Superbagnères","Stage with mountain(s)","Imerio Massignan","ITA"
"1314","17",1961-07-12,197,"Luchon","Pau","Stage with mountain(s)","Eddy Pauwels","BEL"
"1315","18",1961-07-13,207,"Pau","Bordeaux","Plain stage","Martin Van Geneugden","BEL"
"1316","19",1961-07-14,74.5,"Bergerac","Périgueux","Individual time trial","Jacques Anquetil","FRA"
"1317","20",1961-07-15,309.5,"Périgueux","Tours","Plain stage","André Darrigade","FRA"
"1318","21",1961-07-16,252.5,"Tours","Paris","Plain stage","Robert Cazala","FRA"
"1319","1a",1960-06-26,108,"Lille","Brussels","Plain stage","Julien Schepens","BEL"
"1320","1b",1960-06-26,27.8,"Brussels","Brussels","Individual time trial","Roger Rivière","FRA"
"1321","2",1960-06-27,206,"Brussels","Dunkirk","Plain stage","René Privat","FRA"
"1322","3",1960-06-28,209,"Dunkirk","Dieppe","Plain stage","Nino Defilippis","ITA"
"1323","4",1960-06-29,211,"Dieppe","Caen","Plain stage","Jean Graczyk","FRA"
"1324","5",1960-06-30,189,"Caen","Saint-Malo","Plain stage","André Darrigade","FRA"
"1325","6",1960-07-01,191,"Saint-Malo","Lorient","Plain stage","Roger Rivière","FRA"
"1326","7",1960-07-02,244,"Lorient","Angers","Plain stage","Graziano Battistini","ITA"
"1327","8",1960-07-03,240,"Angers","Limoges","Plain stage","Nino Defilippis","ITA"
"1328","9",1960-07-04,225,"Limoges","Bordeaux","Plain stage","Martin van Geneugden","BEL"
"1329","10",1960-07-05,228,"Mont-de-Marsan","Pau","Stage with mountain(s)","Roger Rivière","FRA"
"1330","11",1960-07-06,161,"Pau","Luchon","Stage with mountain(s)","Kurt Gimmi","SUI"
"1331","12",1960-07-07,176,"Luchon","Toulouse","Stage with mountain(s)","Jean Graczyk","FRA"
"1332","13",1960-07-08,224,"Toulouse","Millau","Plain stage","Louis Proost","FRA"
"1333","14",1960-07-10,217,"Millau","Avignon","Stage with mountain(s)","Martin van Geneugden","BEL"
"1334","15",1960-07-11,187,"Avignon","Gap","Stage with mountain(s)","Michel Van Aerde","BEL"
"1335","16",1960-07-12,172,"Gap","Briançon","Stage with mountain(s)","Graziano Battistini","ITA"
"1336","17",1960-07-13,229,"Briançon","Aix-les-Bains","Stage with mountain(s)","Jean Graczyk","FRA"
"1337","18",1960-07-14,215,"Aix-les-Bains","Thonon-les-Bains","Stage with mountain(s)","Fernando Manzaneque","ESP"
"1338","19",1960-07-15,83,"Pontarlier","Besançon","Individual time trial","Rolf Graf","SUI"
"1339","20",1960-07-16,229,"Besançon","Troyes","Plain stage","Pierre Beuffeuil","FRA"
"1340","21",1960-07-17,200,"Troyes","Paris","Plain stage","Jean Graczyk","FRA"
"1341","1",1959-06-25,238,"Mulhouse","Metz","Plain stage","André Darrigade","FRA"
"1342","2",1959-06-26,234,"Metz","Namur","Plain stage","Vito Favero","ITA"
"1343","3",1959-06-27,217,"Namur","Roubaix","Plain stage","Robert Cazala","FRA"
"1344","4",1959-06-28,230,"Roubaix","Rouen","Plain stage","Dino Bruni","ITA"
"1345","5",1959-06-29,286,"Rouen","Rennes","Plain stage","Jean Graczyk","FRA"
"1346","6",1959-06-30,45,"Blain","Nantes","Individual time trial","Roger Rivière","FRA"
"1347","7",1959-07-01,190,"Nantes","La Rochelle","Plain stage","Roger Hassenforder","FRA"
"1348","8",1959-07-02,201,"La Rochelle","Bordeaux","Plain stage","Michel Dejouhannet","FRA"
"1349","9",1959-07-03,207,"Bordeaux","Bayonne","Plain stage","Marcel Queheille","FRA"
"1350","10",1959-07-05,235,"Bayonne","Bagnères-de-Bigorre","Stage with mountain(s)","Marcel Janssens","BEL"
"1351","11",1959-07-06,119,"Bagnères-de-Bigorre","Saint-Gaudens","Stage with mountain(s)","André Darrigade","FRA"
"1352","12",1959-07-07,184,"Saint-Gaudens","Albi","Plain stage","Rolf Graf","SUI"
"1353","13",1959-07-08,219,"Albi","Aurillac","Stage with mountain(s)","Henry Anglade","FRA"
"1354","14",1959-07-09,231,"Aurillac","Clermont-Ferrand","Stage with mountain(s)","André Le Dissez","FRA"
"1355","15",1959-07-10,12,"Puy de Dôme","Puy de Dôme","Mountain time trial","Federico Bahamontes","ESP"
"1356","16",1959-07-11,210,"Clermont-Ferrand","Saint-Étienne","Plain stage","Dino Bruni","ITA"
"1357","17",1959-07-13,197,"Saint-Étienne","Grenoble","Stage with mountain(s)","Charly Gaul","LUX"
"1358","18",1959-07-14,243,"Grenoble","Saint-Vincent","Stage with mountain(s)","Ercole Baldini","ITA"
"1359","19",1959-07-15,251,"Saint-Vincent","Annecy","Stage with mountain(s)","Rolf Graf","SUI"
"1360","20",1959-07-16,202,"Annecy","Chalon-sur-Saône","Plain stage","Brian Robinson","GBR"
"1361","21",1959-07-17,69,"Seurre","Dijon","Individual time trial","Roger Rivière","FRA"
"1362","22",1959-07-18,331,"Dijon","Paris","Plain stage","Joseph Groussard","FRA"
"1363","1",1958-06-26,184,"Brussels","Ghent","Plain stage","André Darrigade","FRA"
"1364","2",1958-06-27,198,"Ghent","Dunkirk","Plain stage","Gerrit Voorting","NED"
"1365","3",1958-06-28,177,"Dunkirk","Mers-les-Bains","Plain stage","Gilbert Bauvin","FRA"
"1366","4",1958-06-29,205,"Le Tréport","Versailles","Plain stage","Jean Gainche","FRA"
"1367","5",1958-06-30,232,"Versailles","Caen","Plain stage","Tino Sabbadini","FRA"
"1368","6",1958-07-01,223,"Caen","Saint-Brieuc","Plain stage","Martin van Geneugden","BEL"
"1369","7",1958-07-02,170,"Saint-Brieuc","Brest","Plain stage","Brian Robinson","GBR"
"1370","8",1958-07-03,46,"Châteaulin","Châteaulin","Individual time trial","Charly Gaul","LUX"
"1371","9",1958-07-04,206,"Quimper","Saint-Nazaire","Plain stage","André Darrigade","FRA"
"1372","10",1958-07-05,255,"Saint-Nazaire","Royan","Plain stage","Pierino Baffi","ITA"
"1373","11",1958-07-06,137,"Royan","Bordeaux","Plain stage","Arrigo Padovan","ITA"
"1374","12",1958-07-07,161,"Bordeaux","Dax","Plain stage","Martin van Geneugden","BEL"
"1375","13",1958-07-08,230,"Dax","Pau","Stage with mountain(s)","Louis Bergaud","FRA"
"1376","14",1958-07-09,129,"Pau","Luchon","Stage with mountain(s)","Federico Bahamontes","ESP"
"1377","15",1958-07-10,176,"Luchon","Toulouse","Stage with mountain(s)","André Darrigade","FRA"
"1378","16",1958-07-11,187,"Toulouse","Béziers","Plain stage","Pierino Baffi","ITA"
"1379","17",1958-07-12,189,"Béziers","Nîmes","Plain stage","André Darrigade","FRA"
"1380","18",1958-07-13,21,"Bédoin","Mont-Ventoux","Mountain time trial","Charly Gaul","LUX"
"1381","19",1958-07-14,178,"Carpentras","Gap","Stage with mountain(s)","Gastone Nencini","ITA"
"1382","20",1958-07-15,165,"Gap","Briançon","Stage with mountain(s)","Federico Bahamontes","ESP"
"1383","21",1958-07-16,219,"Briançon","Aix-les-Bains","Stage with mountain(s)","Charly Gaul","LUX"
"1384","22",1958-07-17,237,"Aix-les-Bains","Besançon","Stage with mountain(s)","André Darrigade","FRA"
"1385","23",1958-07-18,74,"Besançon","Dijon","Individual time trial","Charly Gaul","LUX"
"1386","24",1958-07-19,320,"Dijon","Paris","Plain stage","Pierino Baffi","ITA"
"1387","1",1957-06-27,204,"Nantes","Granville","Plain stage","André Darrigade","FRA"
"1388","2",1957-06-28,226,"Granville","Caen","Plain stage","René Privat","FRA"
"1389","3a",1957-06-29,15,"Circuit de la Prairie, Caen","Circuit de la Prairie, Caen","Team time trial","France",NA
"1390","3b",1957-06-29,134,"Caen","Rouen","Plain stage","Jacques Anquetil","FRA"
"1391","4",1957-06-30,232,"Rouen","Roubaix","Plain stage","Marcel Janssens","BEL"
"1392","5",1957-07-01,170,"Roubaix","Charleroi","Plain stage","Gilbert Bauvin","FRA"
